Datetime,Datetime,Open,High,Low,Close,Adj Close,Volume,Two_Crows,Three_Black_Crows,Three_Inside_Updown,Three_Line_Strike,Three_Outside_UpDown,Three_Stars_In_The_South,Three_Advancing_White_Soldiers,Abandoned_Baby,Advance_Block,Belthold,Breakaway,Closing_Marubozu,Concealing_Baby_Swallow,Counterattack,Dark_Cloud_Cover,Doji,Doji_Star,Dragonfly_Doji,Engulfing_Pattern,Evening_Doji_Star,Evening_Star,UpDown_gap_sidebyside_white_lines,Gravestone_Doji,Hammer,Hanging_Man,Harami_Pattern,Harami_Cross_Pattern,HighWave_Candle,Hikkake_Pattern,Modified_Hikkake_Pattern,Homing_Pigeon,Identical_Three_Crows,In_Neck_Pattern,Inverted_Hammer,Kicking,Kicking_bullbear_determined_by_the_longer_marubozu,Ladder_Bottom,Long_Legged_Doji,Long_Line_Candle,Marubozu,Matching_Low,Mat_Hold,Morning_Doji_Star,Morning_Star,OnNeck_Pattern,Piercing_Pattern,Rickshaw_Man,RisingFalling_Three_Methods,Separating_Lines,Shooting_Star,Short_Line_Candle,Spinning_Top,Stalled_Pattern,Stick_Sandwich,Takuri_Dragonfly_Doji,Tasuki_Gap,Thrusting_Pattern,Tristar_Pattern,Unique_River,Upside_Gap_Two_Crows,UpsideDownside_Gap_Three_Methods,Candle_Sum,signal
2022-01-06 10:45:00+00:00,2022-01-06 10:45:00+00:00,3357.11,3360.6,3352.98,3360.6,3360.6,96929792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.0
2022-01-06 10:50:00+00:00,2022-01-06 10:50:00+00:00,3361.5,3366.49,3361.5,3365.96,3365.96,72359936,0,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,1.0
2022-01-06 10:55:00+00:00,2022-01-06 10:55:00+00:00,3364.22,3365.52,3364.22,3364.49,3364.49,75165696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.0
2022-01-06 11:00:00+00:00,2022-01-06 11:00:00+00:00,3364.26,3364.26,3359.28,3359.28,3359.28,73039872,0,0,-100,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,-500,-1.0
2022-01-06 11:05:00+00:00,2022-01-06 11:05:00+00:00,3360.62,3363.3,3360.62,3361.87,3361.87,92168192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.0
2022-01-06 11:10:00+00:00,2022-01-06 11:10:00+00:00,3362.27,3364.11,3362.27,3364.11,3364.11,47443968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0
2022-01-06 11:15:00+00:00,2022-01-06 11:15:00+00:00,3364.2,3367.74,3364.2,3367.74,3367.74,56033280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,1.0
2022-01-06 11:20:00+00:00,2022-01-06 11:20:00+00:00,3368.14,3368.14,3366.43,3366.43,3366.43,14905344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,-100,-1.0
2022-01-06 11:25:00+00:00,2022-01-06 11:25:00+00:00,3363.3,3363.3,3360.99,3360.99,3360.99,1175552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,-100,-1.0
2022-01-06 11:30:00+00:00,2022-01-06 11:30:00+00:00,3360.49,3362.72,3359.98,3362.72,3362.72,23005184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2022-01-06 11:35:00+00:00,2022-01-06 11:35:00+00:00,3362.27,3362.27,3354.8,3354.8,3354.8,0,0,0,0,0,0,0,0,0,0,-100,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-400,-1.0
2022-01-06 11:40:00+00:00,2022-01-06 11:40:00+00:00,3354.16,3354.16,3352.29,3352.29,3352.29,17219584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,-100,-1.0
2022-01-06 11:45:00+00:00,2022-01-06 11:45:00+00:00,3347.92,3352.6,3347.92,3352.6,3352.6,74125312,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1.0
2022-01-06 11:50:00+00:00,2022-01-06 11:50:00+00:00,3353.03,3353.21,3351.58,3353.21,3353.21,7708672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,100,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,200,1.0
2022-01-06 11:55:00+00:00,2022-01-06 11:55:00+00:00,3356.73,3359.05,3356.73,3359.05,3359.05,146780160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,1.0
2022-01-06 12:00:00+00:00,2022-01-06 12:00:00+00:00,3358.89,3360.33,3358.3,3358.3,3358.3,28305408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2022-01-06 12:05:00+00:00,2022-01-06 12:05:00+00:00,3356.72,3356.72,3354.44,3354.44,3354.44,3762176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,-100,-1.0
2022-01-06 12:10:00+00:00,2022-01-06 12:10:00+00:00,3354.26,3355.66,3353.2,3354.89,3354.89,61579264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,1.0
2022-01-06 12:15:00+00:00,2022-01-06 12:15:00+00:00,3354.64,3354.64,3351.65,3353.32,3353.32,49774592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1.0
